iter	MultiClass
0	1.083338337
1	1.066759392
2	1.057032051
3	1.040777724
4	1.026469206
5	1.010652313
6	1.000026464
7	0.9854917777
8	0.9696732836
9	0.9556875876
10	0.9413943332
11	0.9306839377
12	0.9175866012
13	0.9080186059
14	0.8956852048
15	0.8799498387
16	0.870492543
17	0.8578714418
18	0.8456024952
19	0.8370831462
20	0.8276001468
21	0.8158632902
22	0.8019868988
23	0.7906393606
24	0.7816803602
25	0.7712886157
26	0.764311913
27	0.7526328938
28	0.7403945694
29	0.7320484124
30	0.7236847722
31	0.7165022847
32	0.7076883032
33	0.7023830642
34	0.6966960776
35	0.6882838274
36	0.6841563674
37	0.6753682255
38	0.6681026367
39	0.6597556473
40	0.6533678226
41	0.646851323
42	0.6395718526
43	0.6338842218
44	0.6273682147
45	0.6188951087
46	0.6129787563
47	0.6055042344
48	0.5988860158
49	0.591451416
50	0.5859046303
51	0.5811215536
52	0.5738722527
53	0.5663474587
54	0.5616511344
55	0.5562574101
56	0.5506483972
57	0.5437338904
58	0.5397403462
59	0.5335205427
60	0.5286715046
61	0.5222894896
62	0.5192853941
63	0.5145589097
64	0.5086937222
65	0.5039139816
66	0.4974340966
67	0.4927369796
68	0.4897032031
69	0.4846286196
70	0.4812200623
71	0.4763665786
72	0.4723771929
73	0.4677609623
74	0.4643216164
75	0.4594757123
76	0.4554749701
77	0.4501039021
78	0.4458608307
79	0.4401707237
80	0.4370160003
81	0.4327081227
82	0.429037237
83	0.4232592967
84	0.4201741462
85	0.4159675358
86	0.4125046819
87	0.4078287776
88	0.4029196372
89	0.399482177
90	0.3956824271
91	0.3916178242
92	0.3871065188
93	0.3832253884
94	0.379790777
95	0.3758883767
96	0.3731189741
97	0.3697214073
98	0.367261523
99	0.3638654315
100	0.3609532397
101	0.357494599
102	0.3545026955
103	0.350945318
104	0.3483811367
105	0.3444623689
106	0.3421685653
107	0.3376277303
108	0.3351244691
109	0.3315455254
110	0.3281932605
111	0.3261192581
112	0.3227880476
113	0.3199975826
114	0.3185045218
115	0.3157928381
116	0.3126187215
117	0.3092571929
118	0.3057154686
119	0.3032953105
120	0.3008798143
121	0.2978581248
122	0.2956360745
123	0.2930407663
124	0.2904197303
125	0.2876067594
126	0.2847224747
127	0.2824014666
128	0.2793154446
129	0.2764924767
130	0.2743433665
131	0.2712210259
132	0.2688167567
133	0.2666842421
134	0.2640603082
135	0.2618124933
136	0.2596513675
137	0.2576059937
138	0.2548379577
139	0.253266733
140	0.2509836724
141	0.2494708194
142	0.2476675913
143	0.2451621982
144	0.2430432877
145	0.2416326785
146	0.2392952092
147	0.2368841758
148	0.2351952256
149	0.2329938035
150	0.2308684384
151	0.2288720411
152	0.2266677658
153	0.224897077
154	0.223091734
155	0.2215727742
156	0.219538259
157	0.2172168991
158	0.2154120981
159	0.2133953173
160	0.211509164
161	0.209471362
162	0.2074636336
163	0.2063425594
164	0.2045746398
165	0.2037749905
166	0.2018792051
167	0.2000877509
168	0.1980747858
169	0.1969296491
170	0.1956910443
171	0.1945221142
172	0.1931858885
173	0.1916742232
174	0.1899500225
175	0.1885625754
176	0.1871678414
177	0.1862862238
178	0.1843851537
179	0.1829733559
180	0.1817170713
181	0.1806098014
182	0.1788437859
183	0.177626351
184	0.1761684069
185	0.1743445919
186	0.1728291079
187	0.1717801372
188	0.1706056587
189	0.169284414
190	0.1679134261
191	0.1670118558
192	0.1652611873
193	0.1639192169
194	0.1625540328
195	0.1608749719
196	0.1593042746
197	0.1582966247
198	0.1572246162
199	0.1556978734
200	0.154658761
201	0.153603857
202	0.1527738945
203	0.1515988199
204	0.1501641024
205	0.1493004476
206	0.1479052816
207	0.1470951933
208	0.1459281178
209	0.1447147374
210	0.1435832176
211	0.142432881
212	0.1414430147
213	0.1403905525
214	0.139067666
215	0.138002203
216	0.1368993669
217	0.1356606802
218	0.1350279244
219	0.133817615
220	0.1327258143
221	0.1317682327
222	0.130751684
223	0.1297060434
224	0.1285251936
225	0.1274456445
226	0.1267260352
227	0.1256459093
228	0.1247878905
229	0.1239736683
230	0.123130727
231	0.1224603695
232	0.1215067507
233	0.1209269103
234	0.1200048071
235	0.1189515366
236	0.1179780032
237	0.1171146688
238	0.1160983822
239	0.115227827
240	0.1146020785
241	0.1136669941
242	0.1127317472
243	0.1119750108
244	0.1110167719
245	0.110054494
246	0.1090438147
247	0.1082949474
248	0.1074437342
249	0.1067334376
250	0.1062699052
251	0.1054719245
252	0.1047838614
253	0.1041458446
254	0.103421107
255	0.1024998354
256	0.1017533167
257	0.1011198382
258	0.1003844876
259	0.09962562572
260	0.09890993756
261	0.09828296337
262	0.09763293104
263	0.09698042409
264	0.09629000551
265	0.09573430267
266	0.09506265887
267	0.09425967856
268	0.09363781252
269	0.09293158094
270	0.09223334824
271	0.09159037007
272	0.09107614104
273	0.09048399703
274	0.08996405772
275	0.08924675875
276	0.0888013424
277	0.08813337098
278	0.08757913974
279	0.08702543313
280	0.08632609921
281	0.08581422051
282	0.08524757514
283	0.08472207986
284	0.08427745663
285	0.08363568468
286	0.08314242841
287	0.08261881777
288	0.08211544327
289	0.08147100323
290	0.08092487522
291	0.08038273888
292	0.0797860179
293	0.07917667654
294	0.07871034498
295	0.07826216286
296	0.07776616164
297	0.07720479098
298	0.0766354284
299	0.0761270652
300	0.07554605274
301	0.07510808056
302	0.07460126421
303	0.07411195649
304	0.07360763412
305	0.073145311
306	0.0727003944
307	0.07225604155
308	0.07181698562
309	0.07135571887
310	0.07095862646
311	0.07056615669
312	0.07017866327
313	0.06989003083
314	0.06948639507
315	0.06900775186
316	0.06863336987
317	0.06813953786
318	0.0676633862
319	0.06737380255
320	0.06695098816
321	0.06650501751
322	0.0660602424
323	0.06572145122
324	0.06533309989
325	0.06495806422
326	0.06462102971
327	0.0642479841
328	0.06386004698
329	0.06353335399
330	0.06311006571
331	0.06275283311
332	0.06236552746
333	0.0620110285
334	0.06166832738
335	0.06130259202
336	0.06104912185
337	0.06066850396
338	0.06043779926
339	0.06007693677
340	0.05972467121
341	0.05947871731
342	0.05913371084
343	0.0588037972
344	0.05851266043
345	0.05813784305
346	0.05785426532
347	0.05755425968
348	0.05726587346
349	0.0569427679
350	0.05673474792
351	0.05639676739
352	0.05608557718
353	0.05578399082
354	0.05544488842
355	0.05512632603
356	0.05483161718
357	0.05454812941
358	0.0543523517
359	0.05410418784
360	0.05382247979
361	0.05358199699
362	0.05333158725
363	0.05303054262
364	0.05278296347
365	0.05250772124
366	0.05220199397
367	0.05194146409
368	0.05165929767
369	0.05138834647
370	0.05111315382
371	0.05087793348
372	0.05060768731
373	0.05040655599
374	0.05018689675
375	0.04988689849
376	0.0496275775
377	0.04941804131
378	0.04914510541
379	0.04886696936
380	0.04865900717
381	0.04841374004
382	0.04817809771
383	0.04795598891
384	0.04771359711
385	0.04747946563
386	0.04728515339
387	0.04705710287
388	0.04683410586
389	0.04661710586
390	0.04639264314
391	0.04615501613
392	0.04595330521
393	0.04576682324
394	0.04555504861
395	0.04535647171
396	0.04516452758
397	0.0449293174
398	0.04473323818
399	0.04448764148
400	0.04429340506
401	0.04410527016
402	0.04391577387
403	0.04369281865
404	0.04350118077
405	0.04333545508
406	0.04314511303
407	0.04292133583
408	0.04271337276
409	0.04249965399
410	0.04228099592
411	0.04205604974
412	0.04185189082
413	0.04165228329
414	0.04147348963
415	0.04129518273
416	0.04109185441
417	0.04086861723
418	0.04066559469
419	0.04048946593
420	0.040295421
421	0.04010116831
422	0.03992244857
423	0.03975465536
424	0.03958616621
425	0.03939440185
426	0.03922526345
427	0.03902876438
428	0.0388418381
429	0.03867806734
430	0.03850730506
431	0.03832462238
432	0.03814820997
433	0.03799180659
434	0.03783346285
435	0.03766777908
436	0.03747075029
437	0.03729849655
438	0.03713139794
439	0.03696932002
440	0.03681116792
441	0.03668675101
442	0.03654294749
443	0.0363595178
444	0.03621312299
445	0.03605946529
446	0.03591180341
447	0.03574478241
448	0.0356025419
449	0.03545664366
450	0.03534090494
451	0.03520388288
452	0.0350604366
453	0.03492279462
454	0.03478047906
455	0.03462737736
456	0.03450199544
457	0.03436719451
458	0.03424240575
459	0.03409269782
460	0.03396176943
461	0.03381081067
462	0.03368870599
463	0.03356500138
464	0.03342851627
465	0.03328221944
466	0.03315116454
467	0.03301862373
468	0.03289552833
469	0.03277269725
470	0.03266216378
471	0.03251906201
472	0.03238498603
473	0.03225562774
474	0.03215211997
475	0.03200784608
476	0.03188707017
477	0.03175639585
478	0.0316508694
479	0.03152395148
480	0.03138877629
481	0.03128631017
482	0.03116174098
483	0.03104856246
484	0.03091999767
485	0.03081171153
486	0.03069494426
487	0.03059809526
488	0.03047516397
489	0.03035358434
490	0.03023417667
491	0.03011029277
492	0.03000557769
493	0.02989318378
494	0.02976767516
495	0.02965624854
496	0.02955428703
497	0.02944854468
498	0.02932343117
499	0.02920571914
500	0.02908809964
501	0.02899065825
502	0.02891488828
503	0.02880998265
504	0.02872395526
505	0.02861313253
506	0.02850781747
507	0.02839034937
508	0.02828498331
509	0.02818518396
510	0.02809586967
511	0.02798844724
512	0.0278932328
513	0.02779611654
514	0.02769248298
515	0.02761500118
516	0.02750794725
517	0.02742038124
518	0.02732131569
519	0.02722354972
520	0.02714371232
521	0.0270519897
522	0.02695341936
523	0.0268464296
524	0.02675893441
525	0.02666495542
526	0.02657899725
527	0.02649030379
528	0.02639704877
529	0.0263224356
530	0.02622962443
531	0.02613376436
532	0.02602914451
533	0.02595424574
534	0.02586455375
535	0.02576765366
536	0.02569145091
537	0.02559976013
538	0.02551968337
539	0.02542066785
540	0.02532316973
541	0.02522266868
542	0.02514142903
543	0.02506123206
544	0.02496995602
545	0.02488843536
546	0.02479881846
547	0.02472459962
548	0.02463520457
549	0.02454232345
550	0.02446095821
551	0.02437739978
552	0.02430377111
553	0.02422025311
554	0.0241425449
555	0.02406222195
556	0.0239743623
557	0.02389907303
558	0.02383490278
559	0.02375854613
560	0.02367808604
561	0.0235908034
562	0.02352068576
563	0.02346207601
564	0.02338021174
565	0.02331468936
566	0.02325078185
567	0.02317894121
568	0.02310815933
569	0.02303053413
570	0.02296376875
571	0.02287776978
572	0.02281232868
573	0.02274317576
574	0.02266898355
575	0.02259532441
576	0.022534453
577	0.02246910985
578	0.02240131555
579	0.02232658465
580	0.02224927128
581	0.02218709894
582	0.02211982923
583	0.02205583331
584	0.02198116725
585	0.02191910043
586	0.02185848951
587	0.02178527374
588	0.02171426014
589	0.02164264105
590	0.02157764038
591	0.02151278223
592	0.02143999002
593	0.02137268442
594	0.02132262645
595	0.02127171185
596	0.02120687887
597	0.02114473232
598	0.02109805319
599	0.02103546622
600	0.02096845213
601	0.02089850245
602	0.02084049629
603	0.02077472326
604	0.02072273159
605	0.02067465198
606	0.02061504474
607	0.02056241574
608	0.02049696453
609	0.02044048367
610	0.02038450187
611	0.02032416126
612	0.02026522653
613	0.02020941874
614	0.02015581902
615	0.02008491285
616	0.02002450545
617	0.01997289329
618	0.01990826288
619	0.01984658946
620	0.01978758943
621	0.01972969868
622	0.01967452104
623	0.0196099186
624	0.01955153207
625	0.01949087299
626	0.01944876208
627	0.01939838805
628	0.01935256041
629	0.01929256576
630	0.01923836196
631	0.01918470936
632	0.01912688779
633	0.01907642064
634	0.01902302194
635	0.0189637287
636	0.01892453337
637	0.01888358876
638	0.0188324105
639	0.01878529698
640	0.01873670424
641	0.01867334803
642	0.01862378985
643	0.01857248409
644	0.01851829921
645	0.01846641168
646	0.01841241924
647	0.01836368439
648	0.01831698127
649	0.01826702191
650	0.01822227745
651	0.01817905849
652	0.01813056787
653	0.01808258709
654	0.01803144901
655	0.01798618588
656	0.01794294912
657	0.01789211615
658	0.01784366427
659	0.01779635013
660	0.01774880004
661	0.01770992686
662	0.01766500144
663	0.01762829467
664	0.01759054123
665	0.01755551218
666	0.0175109876
667	0.01746694944
668	0.01742028522
669	0.01737162206
670	0.01733145548
671	0.0172867207
672	0.01723518551
673	0.01718931202
674	0.01714494138
675	0.0170970284
676	0.01705479919
677	0.01702005025
678	0.01697755941
679	0.01693537766
680	0.01689126127
681	0.01684972839
682	0.01680798716
683	0.01676133129
684	0.01672172507
685	0.01668026619
686	0.01664646276
687	0.01660303142
688	0.01655994652
689	0.01652196022
690	0.01648152872
691	0.01644166938
692	0.01639930203
693	0.01635767622
694	0.01631804476
695	0.01627728259
696	0.01623197429
697	0.01619519856
698	0.01615073153
699	0.01611488076
