iter	Passed	Remaining
405	6864	4971
406	6880	4953
407	6897	4936
408	6914	4919
409	6930	4902
410	6947	4885
411	6965	4868
412	6982	4852
413	6999	4835
414	7015	4818
415	7032	4800
416	7048	4783
417	7066	4767
418	7082	4750
419	7099	4732
420	7115	4715
421	7132	4698
422	7149	4681
423	7165	4664
424	7181	4646
425	7197	4629
426	7213	4612
427	7230	4594
428	7246	4577
429	7262	4560
430	7278	4542
431	7295	4525
432	7311	4508
433	7328	4491
434	7343	4473
435	7360	4456
436	7377	4439
437	7394	4423
438	7410	4406
439	7427	4388
440	7444	4372
441	7461	4355
442	7477	4338
443	7494	4321
444	7512	4304
445	7529	4287
446	7545	4270
447	7562	4253
448	7578	4236
449	7595	4219
450	7610	4202
451	7627	4185
452	7644	4168
453	7661	4151
454	7677	4134
455	7693	4116
456	7710	4099
457	7727	4083
458	7744	4066
459	7763	4050
460	7781	4034
461	7799	4017
462	7815	4000
463	7831	3983
464	7847	3966
465	7864	3949
466	7881	3932
467	7897	3915
468	7914	3898
469	7931	3881
470	7947	3864
471	7963	3846
472	7980	3830
473	7998	3813
474	8015	3796
475	8031	3779
476	8048	3762
477	8066	3746
478	8083	3729
479	8100	3712
480	8117	3695
481	8134	3679
482	8151	3662
483	8168	3645
484	8185	3628
485	8202	3611
486	8219	3595
487	8236	3578
488	8252	3561
489	8270	3544
490	8287	3527
491	8304	3510
492	8321	3493
493	8338	3477
494	8354	3460
495	8372	3443
496	8388	3426
497	8405	3409
498	8423	3392
499	8439	3375
500	8456	3358
501	8474	3342
502	8491	3325
503	8509	3309
504	8526	3292
505	8544	3275
506	8561	3259
507	8578	3242
508	8594	3225
509	8612	3208
510	8630	3192
511	8648	3175
512	8664	3158
513	8681	3141
514	8698	3124
515	8715	3107
516	8732	3090
517	8749	3074
518	8767	3057
519	8785	3041
520	8804	3024
521	8822	3008
522	8840	2991
523	8857	2974
524	8873	2957
525	8890	2941
526	8907	2924
527	8924	2907
528	8941	2890
529	8957	2873
530	8974	2856
531	8991	2839
532	9009	2822
533	9026	2805
534	9042	2788
535	9058	2771
536	9075	2754
537	9092	2737
538	9109	2720
539	9125	2703
540	9141	2686
541	9158	2669
542	9175	2652
543	9192	2636
544	9209	2619
545	9227	2602
546	9244	2585
547	9261	2568
548	9279	2552
549	9296	2535
550	9312	2518
551	9328	2501
552	9344	2484
553	9361	2467
554	9376	2449
555	9393	2432
556	9410	2415
557	9428	2399
558	9444	2382
559	9461	2365
560	9477	2348
561	9493	2331
562	9509	2314
563	9525	2296
564	9541	2279
565	9558	2262
566	9574	2245
567	9590	2228
568	9607	2212
569	9623	2194
570	9640	2178
571	9657	2161
572	9674	2144
573	9690	2127
574	9707	2110
575	9723	2093
576	9741	2076
577	9758	2059
578	9775	2042
579	9792	2025
580	9808	2008
581	9824	1991
582	9842	1975
583	9859	1958
584	9874	1941
585	9892	1924
586	9908	1907
587	9926	1890
588	9942	1873
589	9958	1856
590	9975	1839
591	9992	1822
592	10009	1806
593	10025	1789
594	10041	1772
595	10058	1755
596	10076	1738
597	10093	1721
598	10110	1704
599	10126	1687
600	10144	1671
601	10160	1654
602	10177	1637
603	10193	1620
604	10209	1603
605	10225	1586
606	10242	1569
607	10258	1552
608	10275	1535
609	10291	1518
610	10307	1501
611	10324	1484
612	10341	1467
613	10358	1450
614	10375	1433
615	10391	1416
616	10406	1399
617	10422	1382
618	10439	1366
619	10456	1349
620	10472	1332
621	10489	1315
622	10507	1298
623	10524	1281
624	10549	1265
625	10572	1249
626	10589	1232
627	10607	1216
628	10624	1199
629	10641	1182
630	10658	1165
631	10675	1148
632	10691	1131
633	10709	1114
634	10725	1097
635	10742	1081
636	10759	1064
637	10776	1047
638	10792	1030
639	10809	1013
640	10826	996
641	10842	979
642	10859	962
643	10875	945
644	10891	928
645	10908	911
646	10924	894
647	10941	877
648	10958	861
649	10974	844
650	10991	827
651	11007	810
652	11024	793
653	11040	776
654	11057	759
655	11075	742
656	11091	725
657	11108	709
658	11125	692
659	11141	675
660	11156	658
661	11172	641
662	11189	624
663	11206	607
664	11222	590
665	11238	573
666	11255	556
667	11270	539
668	11286	523
669	11304	506
670	11321	489
671	11338	472
672	11354	455
673	11370	438
674	11386	421
675	11402	404
676	11418	387
677	11435	371
678	11451	354
679	11468	337
680	11484	320
681	11501	303
682	11517	286
683	11532	269
684	11549	252
685	11565	236
686	11582	219
687	11598	202
688	11614	185
689	11631	168
690	11648	151
691	11664	134
692	11680	117
693	11698	101
694	11714	84
695	11730	67
696	11747	50
697	11764	33
698	11781	16
699	11797	0
