iter	Passed	Remaining
408	4723	6825
409	4735	6814
410	4746	6802
411	4757	6790
412	4768	6776
413	4778	6764
414	4789	6751
415	4800	6738
416	4811	6726
417	4822	6713
418	4833	6702
419	4844	6690
420	4855	6677
421	4866	6665
422	4877	6653
423	4889	6642
424	4902	6633
425	4914	6621
426	4925	6609
427	4936	6597
428	4947	6585
429	4959	6574
430	4970	6561
431	4981	6549
432	4991	6536
433	5003	6525
434	5014	6513
435	5026	6502
436	5037	6490
437	5048	6478
438	5059	6465
439	5072	6455
440	5083	6443
441	5094	6431
442	5105	6419
443	5117	6408
444	5127	6395
445	5138	6382
446	5150	6371
447	5161	6359
448	5172	6348
449	5184	6336
450	5196	6326
451	5208	6314
452	5219	6302
453	5230	6290
454	5241	6278
455	5252	6265
456	5262	6252
457	5273	6240
458	5284	6228
459	5294	6215
460	5306	6204
461	5317	6191
462	5327	6179
463	5338	6167
464	5350	6155
465	5361	6143
466	5373	6133
467	5384	6121
468	5397	6110
469	5408	6098
470	5421	6088
471	5432	6077
472	5444	6065
473	5455	6054
474	5466	6042
475	5477	6030
476	5489	6019
477	5501	6008
478	5513	5996
479	5525	5986
480	5536	5974
481	5548	5962
482	5559	5951
483	5572	5940
484	5583	5929
485	5597	5919
486	5609	5908
487	5621	5897
488	5634	5887
489	5645	5876
490	5657	5865
491	5668	5853
492	5680	5841
493	5692	5830
494	5703	5819
495	5716	5808
496	5728	5797
497	5739	5785
498	5751	5774
499	5761	5761
500	5773	5750
501	5785	5739
502	5795	5726
503	5807	5715
504	5818	5703
505	5831	5693
506	5843	5681
507	5854	5670
508	5866	5658
509	5879	5648
510	5892	5638
511	5905	5628
512	5917	5617
513	5929	5606
514	5941	5594
515	5952	5583
516	5964	5572
517	5976	5560
518	5988	5550
519	6000	5539
520	6013	5528
521	6026	5518
522	6046	5514
523	6066	5511
524	6084	5505
525	6097	5494
526	6109	5483
527	6122	5472
528	6136	5463
529	6149	5453
530	6164	5444
531	6177	5433
532	6189	5422
533	6201	5412
534	6214	5400
535	6226	5389
536	6238	5379
537	6251	5368
538	6262	5356
539	6274	5344
540	6285	5332
541	6297	5321
542	6309	5310
543	6321	5298
544	6332	5287
545	6346	5276
546	6358	5265
547	6369	5253
548	6381	5242
549	6392	5230
550	6404	5219
551	6415	5206
552	6427	5195
553	6439	5183
554	6450	5172
555	6462	5160
556	6473	5148
557	6485	5137
558	6497	5125
559	6508	5113
560	6520	5102
561	6531	5090
562	6543	5078
563	6554	5067
564	6565	5055
565	6577	5043
566	6590	5033
567	6603	5022
568	6615	5011
569	6628	5000
570	6641	4989
571	6652	4977
572	6663	4965
573	6675	4954
574	6686	4942
575	6697	4930
576	6708	4917
577	6719	4906
578	6731	4894
579	6743	4883
580	6755	4872
581	6767	4860
582	6780	4850
583	6794	4839
584	6808	4829
585	6820	4818
586	6833	4807
587	6846	4797
588	6860	4787
589	6873	4776
590	6887	4766
591	6901	4756
592	6913	4744
593	6924	4732
594	6935	4720
595	6946	4708
596	6959	4697
597	6971	4686
598	6982	4674
599	6994	4662
600	7006	4651
601	7020	4641
602	7032	4630
603	7045	4619
604	7058	4608
605	7070	4597
606	7082	4585
607	7094	4573
608	7105	4561
609	7118	4550
610	7130	4539
611	7141	4527
612	7152	4515
613	7163	4503
614	7175	4492
615	7187	4480
616	7198	4468
617	7209	4456
618	7221	4444
619	7232	4432
620	7244	4421
621	7254	4408
622	7265	4396
623	7275	4384
624	7286	4372
625	7297	4359
626	7308	4347
627	7320	4336
628	7332	4324
629	7344	4313
630	7354	4300
631	7365	4288
632	7375	4276
633	7386	4264
634	7397	4251
635	7407	4239
636	7418	4227
637	7429	4215
638	7440	4203
639	7451	4191
640	7462	4179
641	7473	4167
642	7484	4155
643	7495	4143
644	7506	4131
645	7517	4119
646	7528	4107
647	7539	4095
648	7551	4083
649	7563	4072
650	7574	4060
651	7585	4048
652	7596	4036
653	7607	4024
654	7619	4013
655	7630	4001
656	7641	3989
657	7652	3977
658	7662	3965
659	7673	3953
660	7684	3941
661	7695	3928
662	7705	3916
663	7716	3904
664	7727	3892
665	7738	3880
666	7749	3869
667	7760	3857
668	7771	3845
669	7782	3833
670	7794	3821
671	7804	3809
672	7816	3797
673	7827	3786
674	7839	3774
675	7851	3763
676	7865	3752
677	7877	3741
678	7887	3729
679	7899	3717
680	7909	3705
681	7920	3693
682	7931	3681
683	7942	3669
684	7953	3657
685	7964	3645
686	7975	3633
687	7986	3621
688	7998	3610
689	8009	3598
690	8020	3586
691	8032	3575
692	8043	3563
693	8054	3551
694	8066	3539
695	8077	3527
696	8088	3516
697	8098	3504
698	8110	3492
699	8121	3480
700	8132	3468
701	8143	3457
702	8154	3445
703	8165	3433
704	8176	3421
705	8187	3409
706	8199	3397
707	8210	3386
708	8221	3374
709	8232	3362
710	8242	3350
711	8253	3338
712	8265	3327
713	8276	3315
714	8287	3303
715	8297	3291
716	8307	3279
717	8318	3267
718	8329	3255
719	8340	3243
720	8350	3231
721	8361	3219
722	8373	3208
723	8384	3196
724	8395	3184
725	8407	3172
726	8418	3161
727	8429	3149
728	8440	3137
729	8451	3125
730	8462	3114
731	8473	3102
732	8485	3090
733	8496	3079
734	8507	3067
735	8518	3055
736	8529	3043
737	8540	3031
738	8551	3020
739	8563	3008
740	8574	2996
741	8584	2985
742	8596	2973
743	8607	2961
744	8618	2949
745	8629	2938
746	8640	2926
747	8652	2914
748	8662	2903
749	8674	2891
750	8685	2879
751	8697	2868
752	8708	2856
753	8718	2844
754	8730	2832
755	8740	2821
756	8751	2809
757	8761	2797
758	8772	2785
759	8783	2773
760	8794	2761
761	8805	2750
762	8815	2738
763	8826	2726
764	8838	2715
765	8850	2703
766	8862	2692
767	8873	2680
768	8885	2669
769	8897	2657
770	8909	2646
771	8921	2634
772	8932	2623
773	8944	2611
774	8956	2600
775	8967	2588
776	8978	2576
777	8989	2565
778	8999	2553
779	9011	2541
780	9021	2529
781	9032	2518
782	9044	2506
783	9055	2495
784	9067	2483
785	9078	2471
786	9089	2460
787	9100	2448
788	9112	2436
789	9123	2425
790	9133	2413
791	9145	2401
792	9156	2390
793	9168	2378
794	9178	2366
795	9189	2355
796	9200	2343
797	9211	2331
798	9222	2320
799	9233	2308
800	9245	2296
801	9256	2285
802	9267	2273
803	9279	2262
804	9289	2250
805	9301	2238
806	9312	2227
807	9323	2215
808	9335	2204
809	9346	2192
810	9357	2180
811	9369	2169
812	9380	2157
813	9390	2145
814	9401	2134
815	9412	2122
816	9423	2110
817	9433	2098
818	9445	2087
819	9456	2075
820	9467	2064
821	9477	2052
822	9488	2040
823	9499	2029
824	9510	2017
825	9520	2005
826	9532	1994
